dict_values([5, 5, 5, 5, 5, 5, 5]) True
dict_values([3, 3, 3, 3, 3, 3, 3]) False
dict_values([4, 5, 5, 5, 5, 4, 5]) True
dict_values([3, 5, 5, 5, 4, 4, 5]) True
dict_values([3, 5, 5, 5, 4, 3, 5]) True
dict_values([2, 5, 5, 5, 4, 2, 5]) True
dict_values([2, 5, 5, 4, 4, 2, 5]) True
dict_values([2, 5, 4, 4, 4, 2, 4]) True
dict_values([2, 4, 4, 3, 4, 2, 4]) True
dict_values([2, 4, 4, 2, 4, 2, 4]) True
dict_values([2, 3, 4, 2, 4, 2, 4]) True
dict_values([1, 2, 4, 2, 4, 2, 4]) True
dict_values([1, 2, 3, 2, 3, 2, 4]) False
