dict_values([5, 5, 5, 5, 5]) True
dict_values([4, 4, 5, 5, 4]) True
dict_values([3, 3, 5, 5, 3]) True
dict_values([3, 2, 4, 4, 3]) True
dict_values([3, 2, 4, 3, 3]) True
dict_values([2, 2, 4, 2, 3]) True
dict_values([2, 2, 4, 2, 2]) True
dict_values([2, 2, 3, 2, 2]) True
dict_values([2, 1, 3, 2, 2]) True
dict_values([1, 1, 3, 2, 2]) True
dict_values([0, 0, 3, 2, 2]) True
dict_values([0, 0, 2, 2, 1]) True
dict_values([0, 0, 2, 1, 1]) True
dict_values([0, 0, 1, 0, 0]) True
dict_values([0, 0, 0, 0, 0]) True
